Date,Bitcoin Search,Bitcoin Price
5/15/2016,2,457.56
5/22/2016,3,438.8
5/29/2016,3,517.84
6/5/2016,3,573.91
6/12/2016,4,672.13
6/19/2016,4,761.44
6/26/2016,3,630.16
7/3/2016,3,658.27
7/10/2016,3,648.76
7/17/2016,3,679.54
7/24/2016,3,661.47
7/31/2016,3,623.83
8/7/2016,3,592.47
8/14/2016,2,568.76
8/21/2016,2,577.55
8/28/2016,2,573.2
9/4/2016,3,603.72
9/11/2016,3,606.32
9/18/2016,2,608
9/25/2016,2,598.98
10/2/2016,2,608.6
10/9/2016,3,613.06
10/16/2016,3,638.97
10/23/2016,3,648.74
10/30/2016,3,697.23
11/6/2016,3,709.93
11/13/2016,3,700.38
11/20/2016,3,727.09
11/27/2016,3,727.32
12/4/2016,3,762
12/11/2016,3,768.97
12/18/2016,4,788.67
12/25/2016,5,890.67
1/1/2017,7,997.75
1/8/2017,6,909.75
1/15/2017,4,821.86
1/22/2017,4,923.76
1/29/2017,4,912.01
2/5/2017,5,1011.07
2/12/2017,4,1000.73
2/19/2017,5,1051.8
2/26/2017,6,1179.05
3/5/2017,7,1273
3/12/2017,6,1226.62
3/19/2017,6,1017.97
3/26/2017,5,960
4/2/2017,5,1078.01
4/9/2017,5,1206.2
4/16/2017,5,1162.31
4/23/2017,5,1241.99
4/30/2017,7,1350.21
5/7/2017,10,1554.01
5/14/2017,11,1784
5/21/2017,19,2017.55
5/28/2017,13,2178.81
6/4/2017,12,2530.27
6/11/2017,13,2954.22
6/18/2017,11,2516.98
6/25/2017,11,2502.03
7/2/2017,9,2504.37
7/9/2017,10,2502.28
7/16/2017,12,1917.63
7/23/2017,11,2749.02
7/30/2017,15,2742.37
8/6/2017,15,3222.75
8/13/2017,21,4053.87
8/20/2017,16,4058.68
8/27/2017,17,4337.68
9/3/2017,18,4606.26
9/10/2017,21,4226.22
9/17/2017,16,3662.99
9/24/2017,13,3664.22
10/1/2017,12,4377.22
10/8/2017,19,4597.98
10/15/2017,19,5679.7
10/22/2017,20,5969
10/29/2017,28,6137.37
11/5/2017,29,7372.72
11/12/2017,31,5870.37
11/19/2017,28,8016.58
11/26/2017,66,9271.06
12/3/2017,92,11250
12/10/2017,87,14691
12/17/2017,100,18953
12/24/2017,63,14157.87
12/31/2017,48,13880
1/7/2018,47,16124.02
1/14/2018,58,13647.99
1/21/2018,37,11558.87
1/28/2018,40,11685.58
2/4/2018,48,8191
2/11/2018,28,8067
2/18/2018,25,10421.06
2/25/2018,19,9590.04
3/4/2018,19,11463.27
3/11/2018,19,9535.04
3/18/2018,17,8188.24
3/25/2018,18,8453.9
4/1/2018,17,6813.52
4/8/2018,16,7027.26
4/15/2018,14,8354.22
4/22/2018,15,8789.96
4/29/2018,13,9393.99
5/6/2018,13,9623.54
5/13/2018,11,8696.58
5/20/2018,12,8518.48
5/27/2018,10,7347.39
6/3/2018,9,7703.67
6/10/2018,12,6781.17
